epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,8681.61,1.41144,2.62692,1.59104,1.4622,0.49496,0.44889,0.42907,0.23804,0.49871,0.47328,0.43109,0.23271,1.72932,3.2043,2.21397,2.0009,0.00194456,0.00194456,0.00194456
30,8975.19,1.39286,2.63531,1.58126,1.4894,0.50032,0.44275,0.4043,0.22419,0.50662,0.43113,0.40744,0.21905,1.77525,3.23815,1.93919,1.98538,0.00194258,0.00194258,0.00194258
31,9271.43,1.4445,2.57309,1.57723,1.52113,0.49897,0.42748,0.40299,0.21186,0.47395,0.45038,0.41324,0.20897,1.812,3.33052,2.07539,2.094,0.0019406,0.0019406,0.0019406
32,9569.91,1.44625,2.53402,1.61548,1.52953,0.42998,0.45802,0.40466,0.21274,0.49712,0.35468,0.38723,0.1985,1.77053,3.23098,2.07638,2.01448,0.00193862,0.00193862,0.00193862
33,9863.88,1.42229,2.51596,1.56414,1.49037,0.39415,0.48855,0.38942,0.20794,0.62278,0.3655,0.40873,0.22224,1.73097,3.29108,2.0246,1.93998,0.00193664,0.00193664,0.00193664
34,10157.6,1.41431,2.49181,1.57512,1.48546,0.54168,0.37405,0.42169,0.22293,0.57619,0.37363,0.40261,0.20642,1.7297,3.35699,2.06449,1.9589,0.00193466,0.00193466,0.00193466
35,10453.5,1.40809,2.5582,1.55009,1.45573,0.5623,0.41221,0.41959,0.23789,0.57627,0.45038,0.44645,0.21813,1.729,3.43931,2.01697,1.90896,0.00193268,0.00193268,0.00193268
36,10747.4,1.38786,2.4522,1.55141,1.46971,0.52651,0.44275,0.43666,0.22897,0.61605,0.49618,0.48685,0.2498,1.83429,2.88097,2.02919,2.04372,0.0019307,0.0019307,0.0019307
37,11043.9,1.35421,2.42516,1.50551,1.44287,0.53944,0.38931,0.42323,0.23727,0.58175,0.41985,0.44816,0.25068,1.79796,2.98622,2.18672,2.06448,0.00192872,0.00192872,0.00192872
38,11342.3,1.36323,2.54528,1.52821,1.45128,0.44344,0.45802,0.42123,0.2354,0.66339,0.41985,0.4524,0.2288,1.71228,3.09623,2.14297,1.95756,0.00192674,0.00192674,0.00192674
39,11640.3,1.37906,2.45879,1.47104,1.45861,0.41289,0.46565,0.39834,0.211,0.49263,0.35878,0.35512,0.19249,1.72322,3.02148,2.2635,2.00518,0.00192476,0.00192476,0.00192476
40,11939.1,1.33849,2.42758,1.46606,1.44308,0.43286,0.44862,0.43567,0.23852,0.4759,0.45802,0.45036,0.24984,1.7214,2.94485,2.14272,1.99525,0.00192278,0.00192278,0.00192278
41,12239.7,1.34517,2.45348,1.49959,1.44323,0.51779,0.41806,0.43334,0.21791,0.48586,0.48855,0.44454,0.22909,1.74386,3.02198,2.1082,2.01868,0.0019208,0.0019208,0.0019208
42,12538.6,1.38035,2.42496,1.48003,1.42673,0.48694,0.43511,0.41556,0.17488,0.47999,0.42748,0.40415,0.18513,1.87285,3.02352,2.23102,2.13595,0.00191882,0.00191882,0.00191882
43,12836,1.36651,2.53808,1.49519,1.46823,0.50953,0.41221,0.40627,0.2244,0.56525,0.42679,0.42042,0.22316,1.72561,3.21017,2.14202,1.97202,0.00191684,0.00191684,0.00191684
44,13134.6,1.40271,2.48066,1.46258,1.4531,0.48308,0.45038,0.4075,0.22664,0.54424,0.43757,0.43474,0.22869,1.69612,3.0063,2.05289,1.93118,0.00191486,0.00191486,0.00191486
45,13429.4,1.30525,2.42686,1.43732,1.41293,0.61457,0.45038,0.46366,0.24446,0.60816,0.4384,0.4559,0.24634,1.70097,3.14258,1.9494,1.94005,0.00191288,0.00191288,0.00191288
46,13727.4,1.3537,2.46008,1.47485,1.40888,0.43763,0.42748,0.38165,0.20776,0.511,0.44275,0.41063,0.2164,1.7614,3.24407,2.02564,1.99493,0.0019109,0.0019109,0.0019109
47,14024.8,1.33488,2.44534,1.46909,1.39452,0.50362,0.41049,0.34889,0.17948,0.5724,0.45038,0.3772,0.18011,1.73957,3.06983,2.14398,1.96277,0.00190892,0.00190892,0.00190892
48,14320.9,1.32264,2.44689,1.44156,1.39667,0.53521,0.41985,0.40967,0.21896,0.53881,0.40458,0.38624,0.20044,1.70319,3.07454,2.10022,1.97682,0.00190694,0.00190694,0.00190694
49,14623.2,1.30292,2.47145,1.50983,1.41774,0.48878,0.40458,0.40946,0.23189,0.49937,0.43511,0.42615,0.23449,1.7554,3.08019,2.17518,1.96451,0.00190496,0.00190496,0.00190496
50,14923.8,1.31361,2.39863,1.44801,1.42076,0.48477,0.43511,0.4267,0.22609,0.51165,0.45802,0.436,0.22136,1.67858,2.97185,2.25882,1.96853,0.00190298,0.00190298,0.00190298
51,15223.4,1.27319,2.38905,1.41628,1.37964,0.5128,0.41985,0.44578,0.23172,0.50267,0.41221,0.43969,0.23076,1.75649,3.04811,2.01424,2.03428,0.001901,0.001901,0.001901
52,15521.5,1.26839,2.40788,1.34568,1.39372,0.45238,0.52672,0.4567,0.26205,0.66178,0.44275,0.49749,0.27566,1.70778,3.05956,1.9119,1.94792,0.00189902,0.00189902,0.00189902
53,15823.7,1.30521,2.32488,1.36881,1.40236,0.55533,0.45038,0.44416,0.23751,0.61032,0.49618,0.49468,0.25034,1.8268,3.15464,2.15602,2.03987,0.00189704,0.00189704,0.00189704
54,16124.4,1.32963,2.40087,1.4298,1.43281,0.50252,0.48855,0.48347,0.25941,0.60047,0.44745,0.4683,0.24969,1.75959,2.91634,1.97185,1.95526,0.00189506,0.00189506,0.00189506
55,16420.5,1.25296,2.34336,1.38185,1.386,0.51087,0.38271,0.39797,0.22646,0.50351,0.38168,0.38236,0.19791,1.71485,3.53791,2.09877,1.96192,0.00189308,0.00189308,0.00189308
56,16720.6,1.29892,2.37853,1.39936,1.40447,0.62623,0.43486,0.44259,0.25169,0.63325,0.45802,0.4711,0.26327,1.59026,2.82732,1.94819,1.84012,0.0018911,0.0018911,0.0018911
57,17020.3,1.26657,2.30389,1.36011,1.3716,0.64348,0.41335,0.43584,0.24384,0.63114,0.40492,0.44275,0.24909,1.68764,2.92123,2.09905,1.99263,0.00188912,0.00188912,0.00188912
58,17322.3,1.2805,2.31531,1.38803,1.38567,0.53493,0.46565,0.47225,0.25045,0.5507,0.51908,0.50884,0.28182,1.73393,2.94288,2.05859,1.96996,0.00188714,0.00188714,0.00188714
59,17620.8,1.26878,2.33204,1.37871,1.39393,0.48512,0.46565,0.45869,0.27073,0.61319,0.45802,0.47105,0.25259,1.56152,2.99973,1.77981,1.82423,0.00188516,0.00188516,0.00188516
60,17922.8,1.23353,2.31325,1.31119,1.37122,0.54361,0.47328,0.47029,0.26207,0.61604,0.46541,0.49006,0.26343,1.62799,2.8346,1.82201,1.94035,0.00188318,0.00188318,0.00188318
61,18224.1,1.26005,2.30824,1.30794,1.35799,0.62314,0.40458,0.42355,0.23523,0.67576,0.44275,0.46501,0.25537,1.74238,2.81046,1.99397,2.00386,0.0018812,0.0018812,0.0018812
62,18525.6,1.24754,2.3064,1.30734,1.35386,0.58331,0.50225,0.49371,0.29187,0.6279,0.46374,0.49573,0.27905,1.51012,2.89182,1.80871,1.82574,0.00187922,0.00187922,0.00187922
63,18832.3,1.26168,2.25956,1.27934,1.36738,0.50311,0.48092,0.46032,0.26336,0.52392,0.47328,0.46148,0.2574,1.63278,3.03542,1.96514,1.8534,0.00187724,0.00187724,0.00187724
64,19137.5,1.25466,2.3016,1.29872,1.36682,0.5636,0.46565,0.46911,0.2668,0.58422,0.48855,0.48915,0.2712,1.62309,2.76896,1.91483,1.89441,0.00187526,0.00187526,0.00187526
65,19445.4,1.25949,2.24376,1.30067,1.38918,0.54746,0.36641,0.37359,0.19984,0.60681,0.38168,0.44743,0.2288,1.77691,2.86323,2.23641,2.12159,0.00187328,0.00187328,0.00187328
66,19762.2,1.21393,2.28056,1.33301,1.37141,0.4668,0.46565,0.41646,0.22662,0.60779,0.45038,0.47414,0.25181,1.81384,3.01898,2.1553,2.10555,0.0018713,0.0018713,0.0018713
67,20066.8,1.20644,2.31769,1.321,1.35357,0.69136,0.43511,0.51351,0.26332,0.63773,0.49618,0.51446,0.2609,1.72116,3.00399,1.86103,1.98141,0.00186932,0.00186932,0.00186932
68,20374.5,1.24075,2.27385,1.29746,1.38661,0.56235,0.48062,0.43934,0.24075,0.57929,0.49403,0.46593,0.24741,1.70427,3.04832,1.93681,1.98262,0.00186734,0.00186734,0.00186734
69,20682.8,1.18272,2.22601,1.23418,1.33446,0.59807,0.45437,0.44097,0.24211,0.64457,0.49618,0.47488,0.23525,1.66648,3.31266,1.86167,1.95244,0.00186536,0.00186536,0.00186536
70,20990.1,1.19907,2.24341,1.23147,1.32119,0.60861,0.49618,0.48084,0.25567,0.6161,0.5023,0.48214,0.25771,1.70321,3.02675,1.82957,1.93794,0.00186338,0.00186338,0.00186338
